"lng","lat"
-82.9406026971536,42.4503712921632
-82.9407317501972,42.4502221378429
-82.9418880949482,42.4490353130811
-82.9419756550702,42.4489419050251
-82.9422908369833,42.4486056699579
-82.9425803984113,42.4482776723192
-82.9426670331524,42.4481681857614
-82.9430530332006,42.4476546918227
-82.9431978892426,42.4474658904243
-82.9432126140507,42.4474479389537
-82.9433688272101,42.4472390984058
-82.9437632523454,42.4467117935318
-82.9440347591763,42.4463484498881
-82.9447544783046,42.4453949940006
-82.9453438840014,42.4446053119221
-82.9458152468357,42.44398018926
-82.946117612372,42.4435740063839
-82.9463443335626,42.4432702459765
-82.9466447974254,42.4428671894859
-82.9471139362063,42.4422424841453
-82.9474022700806,42.4418591735866
-82.9474718959168,42.4417537931903
-82.9475193217178,42.4416783897445
-82.9478309642937,42.441264214586
-82.9481479965225,42.4408427224249
-82.9485478021996,42.4403093493385
-82.9488447648753,42.4399360476138
-82.9489582059051,42.4397960964776
-82.9491790308826,42.4395045029009
-82.9495380500159,42.4390266240553
-82.9497418958663,42.4387544469255
-82.950256355242,42.4380675064329
-82.9507767171941,42.4373802440081
-82.9508388821862,42.437297819505
-82.9508899552028,42.4372302005813
-82.951298450925,42.4366893662483
-82.9515936602599,42.4362954162195
-82.9509949274881,42.4362710111731
-82.9513474775689,42.4358071440205
-82.9508699644016,42.4356109297181
-82.9498843952994,42.4352059508668
-82.9478453247097,42.4343715735476
-82.9457259327896,42.4335011282488
-82.9436028456881,42.4326353686297
-82.9404064470364,42.4313272313438
-82.9373728062672,42.4300881312213
-82.9343330895843,42.4288435594587
-82.9321852984319,42.427966285843
-82.9299805530215,42.4270631289018
-82.9279973913325,42.4262514259644
-82.9278681131228,42.4261813097716
-82.9276461812294,42.4260609406124
-82.927485295961,42.4259736807494
-82.9272963920572,42.4258712237383
-82.9271411759153,42.4257870376958
-82.926602182881,42.4255648262536
-82.9256889592692,42.4251857850557
-82.9247423685376,42.4247919522272
-82.9238035564039,42.4244040141561
-82.9228592367648,42.4240145167207
-82.921885876919,42.4236110381155
-82.920927369908,42.4232157655785
-82.9198776859162,42.4227818764826
-82.9186318446553,42.4222741313759
-82.9179820882185,42.4220106284399
-82.9174097490096,42.4217800788748
-82.9163185587455,42.4213470414845
-82.9162489930783,42.4213276892622
-82.9161017071835,42.4212701167187
-82.9152994070449,42.4209448113521
-82.9147091372699,42.420700511322
-82.9105555739645,42.41879004127
-82.9104417513191,42.4187376837776
-82.9104766915531,42.4183777755591
-82.9105242238946,42.4178881525806
-82.9105369789344,42.4177986119052
-82.9106239791159,42.4171878611645
-82.910640864336,42.4171157631328
-82.910680279212,42.4169474652592
-82.9107634672177,42.416592257007
-82.9109352994525,42.4160185171557
-82.9111813281346,42.4154196412044
-82.9113027071788,42.415145680585
-82.9114906958264,42.414721372523
-82.9117330627224,42.4141896306299
-82.9121038410758,42.4134064218774
-82.9123818575873,42.4127661562129
-82.9125469477674,42.4123886949984
-82.9126530941546,42.4121459999294
-82.9128776078548,42.4116326609501
-82.9129596615128,42.4114576346905
-82.9131611932498,42.4110277487254
-82.9132876051144,42.4107580971756
-82.9136778679459,42.4099256042087
-82.9138873894455,42.4094786514652
-82.9144328499172,42.4083150388479
-82.9149254039268,42.4072642494898
-82.9156198090007,42.4057964386293
-82.9159166423287,42.4051689791918
-82.9162864929317,42.4044692193903
-82.9168540787465,42.4033953098291
-82.9171253306785,42.4028467424949
-82.9172345503747,42.4026258586845
-82.9177069934821,42.4016354308406
-82.9183052085772,42.4003812862519
-82.9186989103649,42.399555869458
-82.9191081520692,42.398924583233
-82.9193303298575,42.3985818511787
-82.9197447588393,42.3979948735347
-82.9200677054876,42.39753745835
-82.9201192177217,42.3974644967372
-82.9203394802106,42.3971525160856
-82.9210517402513,42.3961436436334
-82.9213657266885,42.395698889288
-82.9215597996228,42.3954578905328
-82.9216663911928,42.3953427214772
-82.921708024783,42.3952977374648
-82.9218570824344,42.3951704445369
-82.9221711999014,42.3949526851515
-82.9223897630423,42.3948276773917
-82.9234555379625,42.3944305633506
-82.9244327773145,42.3940530505921
-82.9246102635015,42.3939803154915
-82.9253436549953,42.3936944650535
-82.9256825844794,42.3935623510968
-82.9264723515052,42.3932545179986
-82.926661976595,42.3931806562877
-82.9272512279982,42.3929497830147
-82.9277850413713,42.3927312605704
